年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2014,工業及服務業部門,25634,97.72,20986,98.39,22341,97.23,24304,97.54,27193,97.91,32269,98.64
2014,工業及服務業部門-專業人員,32448,98.88,—,—,—,—,—,—,30449,98.67,35236,99.01
2014,工業及服務業部門-技術員及助理專業人員,27401,98.71,—,—,—,—,25341,98.05,27383,98.72,31343,98.9
2014,工業及服務業部門-事務支援人員,24722,97.48,—,—,22188,98.08,23671,97.99,25664,97.82,29422,98.8
2014,工業及服務業部門-服務及銷售工作人員,23654,98.19,21460,98.52,22430,98.06,23997,98.07,25745,98.56,—,—
2014,工業及服務業部門-技藝、機械設備操作及組裝人員,24089,97.19,—,—,22977,96.29,24228,97.2,25704,97.77,—,—
2014,工業及服務業部門-基層技術工及勞力工,21195,97.97,20750,98.27,21533,97.81,—,—,—,—,—,—
2014,工業部門,25571,97.64,20921,98.42,22341,97.2,24293,97.51,27151,97.66,32276,98.34
2014,工業部門-專業人員,32357,98.53,—,—,—,—,—,—,30215,98.15,35216,98.66
2014,工業部門-技術員及助理專業人員,27072,98.45,—,—,—,—,25180,97.8,27098,98.41,30983,98.62
2014,工業部門-事務支援人員,24726,97.47,—,—,22231,97.94,23702,98,25746,97.8,29499,98.61
2014,工業部門-服務及銷售工作人員,24529,98.27,21361,98.69,22997,97.81,24913,98.21,27134,98.19,—,—
2014,工業部門-技藝、機械設備操作及組裝人員,23750,97.22,—,—,22675,96.56,23919,97.19,25370,97.72,—,—
2014,工業部門-基層技術工及勞力工,21256,97.86,20785,98.33,21616,97.57,—,—,—,—,—,—
2014,礦業及土石採取業,25277,94.3,20631,95.24,23109,89.9,24750,94.64,28082,96.27,32243,96.93
2014,礦業及土石採取業-專業人員,36509,99.45,—,—,—,—,—,—,35100,99.43,37917,99.47
2014,礦業及土石採取業-技術員及助理專業人員,30125,98.29,—,—,—,—,28125,100,30375,100,37125,…
2014,礦業及土石採取業-事務支援人員,23188,96.2,—,—,21594,97.47,23039,97.19,25382,98.74,25500,96.95
2014,礦業及土石採取業-服務及銷售工作人員,23222,95.23,20424,…,22602,97.44,24250,93.35,24659,92.57,—,—
2014,礦業及土石採取業-技藝、機械設備操作及組裝人員,25806,89.91,—,—,25110,86.96,26574,96.71,26647,84.97,—,—
2014,礦業及土石採取業-基層技術工及勞力工,21830,91.86,20687,94,22836,91.49,—,—,—,—,—,—
2014,製造業,25481,97.76,20765,98.72,22156,97.65,24161,97.71,27051,97.83,32301,98.34
2014,製造業-專業人員,32297,98.55,—,—,—,—,—,—,30035,98.27,35258,98.62
2014,製造業-技術員及助理專業人員,26875,98.47,—,—,—,—,24956,97.83,26919,98.48,30802,98.62
2014,製造業-事務支援人員,24806,97.59,—,—,22232,97.92,23727,98.06,25803,97.92,29673,98.69
2014,製造業-服務及銷售工作人員,24492,98.21,21293,98.6,22914,97.67,24859,98.18,27143,98.15,—,—
2014,製造業-技藝、機械設備操作及組裝人員,23501,97.63,—,—,22323,97.28,23661,97.49,25251,98.02,—,—
2014,製造業-基層技術工及勞力工,21046,98.32,20582,98.78,21402,98.02,—,—,—,—,—,—
2014,電力及燃氣供應業,29426,97.49,22377,99.74,24379,95.77,27436,96.26,31587,97.65,34522,99.4
2014,電力及燃氣供應業-專業人員,36600,98.18,—,—,—,—,—,—,35653,97.78,38414,98.48
2014,電力及燃氣供應業-技術員及助理專業人員,30074,98.54,—,—,—,—,28662,96.71,30260,99.5,32465,99.57
2014,電力及燃氣供應業-事務支援人員,27895,98.04,—,—,24403,99.03,26462,96.74,29913,97.44,31503,100
2014,電力及燃氣供應業-服務及銷售工作人員,24950,100,23625,…,23625,…,25213,…,26013,…,—,—
2014,電力及燃氣供應業-技藝、機械設備操作及組裝人員,26929,95.46,—,—,26528,97.85,27151,95.6,27253,91.77,—,—
2014,電力及燃氣供應業-基層技術工及勞力工,22368,94.7,22150,99.88,22488,92.1,—,—,—,—,—,—
